"user_id","web_area_id"
10001,1000
10001,1001
10001,1002
10002,1001
10002,1003
10003,1001
10003,1003
10003,1004
10004,1005
10005,1006
10006,1003
10006,1004
10007,1007
10008,1004
10009,1008
10009,1009
10010,1010
10010,1000
10010,1011
10010,1012
10010,1013
10010,1014
10011,1015
10011,1016
10011,1017
10011,1018
10011,1019
10012,1020
10012,1021
10013,1022
10014,1023
10015,1024
10016,1025
10016,1026
10017,1027
10017,1017
10017,1026
10017,1028
10018,1004
10019,1017
10019,1004
10019,1018
10019,1029
10019,1008
10019,1030
10019,1031
10019,1032
10019,1003
10019,1033
10019,1002
10020,1008
10020,1001
10020,1034
10020,1002
10021,1017
10021,1004
10021,1018
10021,1035
10021,1036
10021,1008
10021,1037
10021,1009
10021,1038
10021,1026
10021,1039
10021,1040
10021,1032
10021,1041
10021,1042
10021,1034
10021,1043
10022,1008
10022,1017
10022,1004
10023,1008
10024,1044
10025,1045
10026,1034
10027,1008
10027,1046
10027,1034
10028,1295
10029,1034
10030,1017
10030,1048
10031,1045
10031,1049
10031,1018
10031,1008
10031,1035
10031,1027
10031,1046
10031,1009
10031,1031
10031,1041
10031,1001
10031,1003
10031,1002
10031,1034
10032,1050
10033,1032
10034,1037
10034,1009
10034,1004
10035,1008
10035,1051
10035,1038
10035,1031
10035,1052
10035,1053
10035,1018
10036,1051
10036,1054
10036,1018
10036,1035
10036,1008
10036,1009
10036,1026
10036,1040
10036,1052
10036,1041
10036,1003
10036,1034
10036,1048
10037,1008
10037,1055
10037,1056
10037,1017
10037,1032
10038,1008
10038,1027
10038,1026
10038,1041
10038,1032
10038,1001
10038,1003
10038,1018
10038,1057
10039,1000
10039,1058
10039,1017
10039,1049
10039,1001
10039,1034
10040,1008
10040,1034
10041,1008
10041,1009
10041,1034
10042,1030
10042,1004
10043,1008
10043,1009
10044,1008
10044,1004
10044,1034
10045,1034
10046,1026
10047,1026
10047,1059
10048,1007
10049,1038
10049,1026
10049,1053
10050,1025
10051,1046
10051,1034
10052,1008
10052,1020
10052,1042
10053,1052
10053,1060
10053,1004
10054,1025
10055,1008
10055,1034
10056,1008
10056,1034
10057,1008
10057,1034
10058,1061
10059,1008
10060,1032
10061,1026
10062,1008
10062,1007
10062,1034
10063,1034
10063,1018
10064,1008
10064,1034
10065,1045
10065,1062
10065,1017
10065,1004
10065,1021
10065,1008
10065,1056
10065,1046
10065,1040
10065,1034
10066,1004
10067,1023
10067,1040
10067,1017
10067,1063
10068,1064
10068,1065
10068,1066
10068,1067
10068,1027
10068,1040
10068,1061
10068,1068
10068,1042
10068,1034
10068,1025
10068,1069
10068,1070
10068,1018
10068,1004
10068,1071
10068,1072
10068,1010
10068,1008
10068,1038
10068,1023
10068,1026
10068,1041
10069,1025
10069,1026
10070,1008
10070,1017
10070,1031
10070,1052
10070,1001
10070,1003
10070,1018
10071,1008
10071,1017
10071,1034
10072,1017
10072,1004
10073,1000
10073,1031
10073,1017
10073,1014
10073,1002
10074,1025
10074,1022
10074,1026
10074,1017
10074,1053
10075,1037
10075,1009
10075,1032
10076,1025
10076,1001
10076,1043
10076,1004
10077,1008
10077,1030
10077,1017
10077,1003
10077,1001
10077,1034
10077,1002
10077,1004
10078,1073
10079,1007
10080,1008
10080,1034
10081,1008
10081,1034
10082,1034
10083,1036
10083,1040
10084,1008
10084,1034
10085,1025
10085,1069
10085,1017
10085,1074
10085,1008
10085,1037
10085,1009
10085,1026
10085,1032
10085,1034
10086,1008
10086,1034
10087,1000
10087,1014
10088,1008
10088,1007
10089,1035
10089,1001
10089,1003
10089,1018
10090,1295
10091,1034
10092,1002
10093,1008
10093,1034
10094,1008
10094,1007
10095,1034
10096,1008
10096,1009
10096,1017
10096,1034
10097,1004
10097,1034
10098,1032
10098,1034
10099,1001
10100,1001
10100,1003
10101,1000
10101,1050
10102,1053
10103,1008
10103,1046
10103,1034
10104,1075
10104,1018
10105,1074
10106,1008
10106,1017
10106,1034
10106,1067
10107,1076
10107,1017
10107,1004
10107,1034
10108,1064
10108,1026
10109,1077
10109,1022
10109,1040
10109,1001
10109,1018
10110,1053
10110,1042
10111,1004
10112,1067
